Country,Year,Attack_Type,Target_Industry,Financial_Loss ,Affected_Users,Attack_Source,Vulnerability_Type,Defense_Mechanism,Resolution_time ,Risk_score,Threat_level,Attack_severity
China,2019,Phishing,Education,80.53,773169,Hacker Group,Unpatched Software,VPN,63,0.79580177,High,Critical
China,2019,Ransomware,Retail,62.19,295961,Hacker Group,Unpatched Software,Firewall,71,0.524194257,Medium,Moderate
India,2017,Man-in-the-Middle,IT,38.65,605895,Hacker Group,Weak Passwords,VPN,20,0.452411927,Medium,Moderate
UK,2024,Ransomware,Telecommunications,41.44,659320,Nation-state,Social Engineering,AI-based Detection,7,0.487977233,Medium,Moderate
Germany,2018,Man-in-the-Middle,IT,74.41,810682,Insider,Social Engineering,VPN,68,0.764215494,High,Critical
Germany,2017,Man-in-the-Middle,Retail,98.24,285201,Unknown,Social Engineering,Antivirus,25,0.773340316,High,Moderate
Germany,2016,DDoS,Telecommunications,33.26,431262,Insider,Unpatched Software,VPN,34,0.362269125,Medium,Moderate
France,2018,SQL Injection,Government,59.23,909991,Unknown,Social Engineering,Antivirus,66,0.687748446,High,Critical
India,2016,Man-in-the-Middle,Banking,16.88,698249,Unknown,Social Engineering,VPN,47,0.327723003,Low,Moderate
UK,2023,DDoS,Healthcare,69.14,685927,Hacker Group,Unpatched Software,Firewall,58,0.689881639,High,Moderate
China,2019,Phishing,Telecommunications,88.67,493675,Unknown,Zero-day,VPN,29,0.768908652,High,Moderate
China,2016,SQL Injection,Healthcare,38.81,920768,Hacker Group,Unpatched Software,AI-based Detection,27,0.548028431,Medium,Critical
India,2019,Ransomware,Education,30.56,583204,Insider,Zero-day,Firewall,37,0.388966478,Medium,Moderate
France,2023,DDoS,Healthcare,58.37,599797,Nation-state,Unpatched Software,AI-based Detection,35,0.588635665,Medium,Moderate
France,2024,DDoS,IT,48.01,922258,Unknown,Social Engineering,Encryption,64,0.612882034,Medium,Critical
Australia,2022,Phishing,Banking,64.31,120789,Nation-state,Zero-day,Encryption,36,0.486464953,Medium,Low
Russia,2017,Man-in-the-Middle,Healthcare,13.04,850158,Hacker Group,Unpatched Software,AI-based Detection,67,0.346429655,Medium,Critical
India,2015,DDoS,IT,93.14,805278,Insider,Social Engineering,Encryption,56,0.893716815,High,Critical
UK,2019,Malware,Telecommunications,14.01,578443,Insider,Social Engineering,Firewall,28,0.271676071,Low,Moderate
India,2016,DDoS,IT,36.45,261808,Nation-state,Social Engineering,AI-based Detection,6,0.333746596,Medium,Moderate
Brazil,2015,Ransomware,Retail,49.55,920172,Hacker Group,Weak Passwords,Antivirus,43,0.623037084,Medium,Critical
France,2023,Ransomware,Education,17.72,261661,Insider,Social Engineering,VPN,11,0.202579368,Low,Moderate
India,2017,DDoS,Government,76.71,246205,Nation-state,Unpatched Software,Firewall,30,0.610912172,Medium,Low
Japan,2022,Phishing,Telecommunications,20.42,186148,Nation-state,Weak Passwords,Antivirus,32,0.198819086,Low,Low
Brazil,2023,DDoS,Telecommunications,51.84,699007,Hacker Group,Social Engineering,VPN,30,0.572694961,Medium,Moderate
China,2021,Phishing,Retail,51.06,628562,Insider,Zero-day,AI-based Detection,52,0.546093198,Medium,Moderate
Japan,2022,Malware,Education,53.04,570494,Nation-state,Unpatched Software,VPN,53,0.542527824,Medium,Moderate
Japan,2022,Ransomware,Banking,26.17,937653,Insider,Unpatched Software,Encryption,24,0.464606931,Medium,Critical
France,2020,Malware,IT,87.32,599757,Unknown,Social Engineering,Antivirus,9,0.791293927,High,Moderate
Australia,2015,DDoS,Government,82.70,904805,Hacker Group,Zero-day,Encryption,61,0.850498508,High,Critical
UK,2022,SQL Injection,Education,66.24,678876,Hacker Group,Social Engineering,AI-based Detection,11,0.667463537,Medium,Moderate
France,2020,Malware,Telecommunications,18.38,246900,Hacker Group,Zero-day,AI-based Detection,34,0.202769913,Low,Low
India,2015,SQL Injection,IT,42.99,85255,Unknown,Unpatched Software,Encryption,61,0.326545935,Low,Low
Japan,2022,Phishing,Banking,98.47,972469,Nation-state,Zero-day,Antivirus,21,0.98120616,High,Critical
Brazil,2023,Phishing,Healthcare,14.51,113777,Nation-state,Weak Passwords,VPN,27,0.135725721,Low,Low
Brazil,2020,Phishing,Banking,17.75,739540,Hacker Group,Zero-day,Encryption,31,0.346205435,Medium,Moderate
China,2020,Man-in-the-Middle,Education,19.81,722788,Nation-state,Zero-day,Firewall,70,0.355599443,Medium,Moderate
Japan,2021,SQL Injection,Retail,82.52,214372,Insider,Unpatched Software,Encryption,12,0.642032852,Medium,Low
USA,2022,DDoS,Retail,32.53,235314,Insider,Weak Passwords,AI-based Detection,62,0.29835275,Low,Low
Brazil,2016,DDoS,Education,96.98,140812,Nation-state,Unpatched Software,VPN,71,0.721186917,High,Low
Russia,2015,DDoS,Telecommunications,96.39,238356,Unknown,Zero-day,AI-based Detection,3,0.746330389,High,Low
